,Unnamed: 0,Event Title,Organizer,Artists,Location,Venue Name,Venue Link,Heure,Date,Price,Event Link,Genres
196,196,RÉVEILLON ROOFTOP CLUB PANORAMIQUE D'EXCEPTION 2024,BK PRODUCTIONS,,"5 Rue Saint-Éleuthère, 75018 Paris, France",Cœur Sacré,"https://www.google.com/maps/search/C%C5%93ur%20Sacr%C3%A9%2C%205%20Rue%20Saint-%C3%89leuth%C3%A8re%2C%2075018%20Paris%2C%20France/@48.885671,2.342207,17z",22:00 à 05:00,2023-12-31,"72,45 €",https://shotgun.live/events/reveillon-rooftop-club-panoramique-d-exception-2024,
197,197,REVEILLON ROOFTOP BOAT CLUB DELUXE LE FLOW ALEXANDRE III,BK PRODUCTIONS,,"4 Port des Invalides, 75007 Paris, France",Le Flow,"https://www.google.com/maps/search/Le%20Flow%2C%204%20Port%20des%20Invalides%2C%2075007%20Paris%2C%20France/@48.863328,2.314865,17z",22:00 à 05:00,2023-12-31,"82,95 €",https://shotgun.live/events/reveillon-rooftop-boat-club-deluxe-le-flow-alexandre-iii,
198,198,BOAT DELUXE TOUR EIFFEL PARTY NEW YEAR VUE PANORAMIQUE,BK PRODUCTIONS,,"Port de Suffren, 75007 Paris, France",Bal de la Marine,"https://www.google.com/maps/search/Bal%20de%20la%20Marine%2C%20Port%20de%20Suffren%2C%2075007%20Paris%2C%20France/@48.8579254,2.2903892,17z",22:00 à 05:00,2023-12-31,"63,00 €",https://shotgun.live/events/boat-deluxe-tour-eiffel-party-new-year-vue-panoramique,
199,199,LA BOAT PARTY DES ANNÉES 80s 90s- FACE A NOTRE DAME DE PARIS,CHRIS MITCHELL,,"35 Quai de la Tournelle, 75005 Paris, France",Non mentionné,"https://www.google.com/maps/search/35%20Quai%20de%20la%20Tournelle%2C%2075005%20Paris%2C%20France/@48.8503587,2.3530289,17z",22:00 à 05:00,2023-12-31,"40,95 €",https://shotgun.live/events/la-boat-party-des-annees-80-s-90-s-face-a-notre-dame-de-paris,
200,200,Make It Hard for 2024,CARE/MESS,"Malva, Rocca, Camila Rodhes, S'il Te Plaît Bruno, Æter","5/7 Rue Moret, 75011 Paris, France",L'International,"https://www.google.com/maps/search/L'International%2C%205%2F7%20Rue%20Moret%2C%2075011%20Paris%2C%20France/@48.866729,2.3796746,17z",22:00 à 06:00,2023-12-31,"6,99 €",https://shotgun.live/events/make-it-hard-for-2024,"techno, ebm, hard techno"
201,201,G New year Eve 2024,Kamal Diarra,DJ FLEXTOUCH,"4 Rue du Fort de la Briche, 93200 Saint-Denis, France",Non mentionné,"https://www.google.com/maps/search/4%20Rue%20du%20Fort%20de%20la%20Briche%2C%2093200%20Saint-Denis%2C%20France/@48.9426735,2.3421808,17z",22:30 à 06:00,2023-12-31,"630,00 €",https://shotgun.live/events/g-new-year-eve-2024,"hip hop, afrobeat, r&b, afro house, house"
202,202,She's in Parties du Jour de l'an - Le Klub,Le KLub,KlassX,"14 Rue Saint-Denis, 75001 Paris, France",Le Klub,"https://www.google.com/maps/search/Le%20Klub%2C%2014%20Rue%20Saint-Denis%2C%2075001%20Paris%2C%20France/@48.8591102,2.3479063,17z",23:00 à 06:00,2023-12-31,"15,99 €",https://shotgun.live/events/she-s-in-parties-du-jour-de-l-an-le-klub,"new wave, goth, industrial, synthwave, post-punk"
203,203,NEW YEAR'S EVE 2024 @ ALMA CLUB,Alma Club,,"15 Av. Montaigne, 75008 Paris, France",Alma Club Montaigne,"https://www.google.com/maps/search/Alma%20Club%20Montaigne%2C%2015%20Av.%20Montaigne%2C%2075008%20Paris%2C%20France/@48.8655848,2.3030586,17z",23:00 à 05:00,2023-12-31,"105,00 €",https://shotgun.live/events/new-year-s-eve-2024-alma-club,"house, afro house, deep house, tech house"
204,204,NYE AT CHEZ TANIA CLUB - PARIS,Chez Tania,,"25 Rue de Richelieu, 75001 Paris, France",Non mentionné,"https://www.google.com/maps/search/25%20Rue%20de%20Richelieu%2C%2075001%20Paris%2C%20France/@48.8648279,2.3362325,17z",00:00 à 06:00,2023-12-31,"75,00 €",https://shotgun.live/events/nye-at-chez-tania-club-paris,"afrobeat, hip hop, drill, r&b, rap, dancehall"
205,205,After O'Clock : BYE 2023 PART II,GLAZART,"Benales, Master Seb, MANUE_G, Glazart","7 Av. de la Prte de la Villette, 75019 Paris, France",Glazart,"https://www.google.com/maps/search/Glazart%2C%207%20Av.%20de%20la%20Prte%20de%20la%20Villette%2C%2075019%20Paris%2C%20France/@48.899326,2.3867336,17z",05:00 à 16:00,2023-12-31,"5,00 €",https://shotgun.live/events/after-o-clock-bye-2023-part-ii,techno
206,206,Vice City - Le retour || Nouvel an,atomic cat,,"6 Pass. Thiéré, 75011 Paris, France",Atomic Cat,"https://www.google.com/maps/search/Atomic%20Cat%2C%206%20Pass.%20Thi%C3%A9r%C3%A9%2C%2075011%20Paris%2C%20France/@48.8535609,2.3747677,17z",18:00 à 05:00,2023-12-31,"2,99 €",https://shotgun.live/events/vice-city-le-retour-nouvel-an,"rock, pop rock, metal, synthwave, minimal synth, synthpop"
207,207,Sivilizasyon x MiD NYE Part.II,Mid Records,"evajane, Helkah (LK), 400 Coups, Minuit","99 Rue de Ménilmontant, 75020 Paris, France",Les Apaches,"https://www.google.com/maps/search/Les%20Apaches%2C%2099%20Rue%20de%20M%C3%A9nilmontant%2C%2075020%20Paris%2C%20France/@48.8691361,2.3911236,17z",19:00 à 05:00,2023-12-31,,https://shotgun.live/events/sivilizasyon-x-mi-d-nye-part-ii,"melodic house & techno, tech house"
208,208,ROOFTOP AMERICAN LOFT NEW YEAR 2024,jean BOURBON,Dj Alkior,"SUR ESPLANADE JEAN TOSCAN, 4 Rue du Départ, 75015 Paris, France",ACE club location de salles,"https://www.google.com/maps/search/ACE%20club%20location%20de%20salles%2C%20SUR%20ESPLANADE%20JEAN%20TOSCAN%2C%204%20Rue%20du%20D%C3%A9part%2C%2075015%20Paris%2C%20France/@48.8429668,2.3230198,17z",20:00 à 05:00,2023-12-31,"51,45 €",https://shotgun.live/events/rooftop-american-loft-new-year-2024,"reggaeton, club, dance, hip hop, salsa, world music"
209,209,PyjaNude#7,LaddictedBar,,"2 Rue Louis Bertrand, 94200 Ivry-sur-Seine, France",Non mentionné,"https://www.google.com/maps/search/2%20Rue%20Louis%20Bertrand%2C%2094200%20Ivry-sur-Seine%2C%20France/@48.8176212,2.3813488,17z",20:00 à 02:00,2023-12-31,"15,99 €",https://shotgun.live/events/pyja-nude-7,"electro, minimal house"
210,210,Nouvel An INTERWORLD - L'Odyssée 2024,AzarKosepela,"ʙᴀʟᴀɢᴀɴ, Bobbi Watson, daphicha, AGRAADO","110 Bd Paul Vaillant Couturier, 94200 Ivry-sur-Seine, France",La Miroiterie - Espace culturel de la ZAC Ivry-Confluences,"https://www.google.com/maps/search/La%20Miroiterie%20-%20Espace%20culturel%20de%20la%20ZAC%20Ivry-Confluences%2C%20110%20Bd%20Paul%20Vaillant%20Couturier%2C%2094200%20Ivry-sur-Seine%2C%20France/@48.8155048,2.4008046,17z",20:00 à 05:00,2023-12-31,"31,50 €",https://shotgun.live/events/nouvel-an-interworld-l-odyssee-2024,"hard groove, trance, techno, minimal techno, disco, bass house"
211,211,Feliz Ano Novo 2024 - Nouvel An Brésilien à Paris,Folioes Unidos,,"24 Rue Malmaison, 93170 Bagnolet, France",Non mentionné,"https://www.google.com/maps/search/24%20Rue%20Malmaison%2C%2093170%20Bagnolet%2C%20France/@48.8678271,2.4195214,17z",21:00 à 06:00,2023-12-31,"20,00 €",https://shotgun.live/events/feliz-ano-novo-2024-nouvel-an-de-rio,brazilian
212,212,REVEILLON VIP MAGIC CLUB « CHAMPS ÉLYSÉES » FEU ARTIFICE,BK PRODUCTIONS,,"40 Rue du Colisée, 75008 Paris, France",Les Planches,"https://www.google.com/maps/search/Les%20Planches%2C%2040%20Rue%20du%20Colis%C3%A9e%2C%2075008%20Paris%2C%20France/@48.871525,2.311091,17z",22:00 à 05:00,2023-12-31,"57,75 €",https://shotgun.live/events/reveillon-vip-magic-club-champs-elysees-feu-artifice,
213,213,CRAZY BOAT PARTY NEW YEAR 2024 SUR LA SEINE ( BATEAU CLUB ),BK PRODUCTIONS,,"5 Quai Valéry Giscard d'Estaing, 75007 Paris, France",Péniche Le Quai,"https://www.google.com/maps/search/P%C3%A9niche%20Le%20Quai%2C%205%20Quai%20Val%C3%A9ry%20Giscard%20d'Estaing%2C%2075007%20Paris%2C%20France/@48.859831,2.3281068,17z",22:00 à 05:00,2023-12-31,"61,95 €",https://shotgun.live/events/crazy-boat-party-new-year-2024-sur-la-seine-bateau-club,
214,214,REVEILLON ROYAL MANOIR PAVILLON DES ETANGS PARIS 16EME,BK PRODUCTIONS,,"50 Rte de l'Étoile, 75116 Paris, France",Les Pavillons des Etangs,"https://www.google.com/maps/search/Les%20Pavillons%20des%20Etangs%2C%2050%20Rte%20de%20l'%C3%89toile%2C%2075116%20Paris%2C%20France/@48.8741487,2.2598231,17z",22:00 à 05:00,2023-12-31,"42,00 €",https://shotgun.live/events/reveillon-royal-manoir-pavillon-des-etangs-paris-16-eme,
215,215,VIP ULTIMATE CLUB NEW YEAR 2024 PARTY + DE 800 PERSONNES,BK PRODUCTIONS,,"105 Rue du Faubourg Saint-Honoré, 75008 Paris, France",Angie,"https://www.google.com/maps/search/Angie%2C%20105%20Rue%20du%20Faubourg%20Saint-Honor%C3%A9%2C%2075008%20Paris%2C%20France/@48.872462,2.31121,17z",22:00 à 05:00,2023-12-31,"57,75 €",https://shotgun.live/events/vip-ultimate-club-new-year-2024-party-de-800-personnes,
216,216,LE REVEILLON DES ANNÉES 80 : La boum 100% années 80 en 2024,Noctambuzz,Jeff de Schilton,"54 Rue Jean-Baptiste Pigalle, 75009 Paris, France",Chez Moune,"https://www.google.com/maps/search/Chez%20Moune%2C%2054%20Rue%20Jean-Baptiste%20Pigalle%2C%2075009%20Paris%2C%20France/@48.8810495,2.3360343,17z",22:00 à 06:00,2023-12-31,"50,99 €",https://shotgun.live/events/le-reveillon-des-annees-80-la-boum-100-annees-80-en-2024,"pop, pop rock, dance, disco, italo disco, rock"
217,217,Nouvel An From Paris,Level Paris,,"49 Rue de Ponthieu, 75008 Paris, France",Non mentionné,"https://www.google.com/maps/search/49%20Rue%20de%20Ponthieu%2C%2075008%20Paris%2C%20France/@48.8715966,2.3061318,17z",22:00 à 06:00,2023-12-31,"52,50 €",https://shotgun.live/events/nouvel-an-from-paris,
218,218,"Dynastie, happy New Year !",MAJORS PROD,,"49 Rue de Ponthieu, 75008 Paris, France",Non mentionné,"https://www.google.com/maps/search/49%20Rue%20de%20Ponthieu%2C%2075008%20Paris%2C%20France/@48.8715966,2.3061318,17z",22:00 à 06:00,2023-12-31,"31,50 €",https://shotgun.live/events/dynastie-happy-new-year,"afro house, afrobeat, hip hop, rap, trap"
